的	3188252
了	883634
是	796991
在	727915
和	555815
有	423765
他	401339
不	360331
我	328841
人	313209
也	307851
为	295952
就	273122
这	261791
上	258101
年	248559
中	243191
你	234587
说	219817
一	217830
到	205341
都	202780
等	195934
着	188584
对	184674
来	161501
与	160984
地	160541
还	157058
要	156581
又	150749
大	144099
而	143233
一个	142747
之	140957
道	140545
以	136106
得	134479
她	134035
中国	129470
个	125538
后	124793
去	123402
将	122305
那	111550
但	110709
从	110435
月	110207
下	108294
把	108066
被	106845
于	106176
时	103735
只	101442
多	98900
我们	98740
过	97817
可	95892
他们	93969
并	93868
能	93096
好	92543
会	92091
自己	90933
没有	87597
出	85847
国家	79520
或	78942
日	78695
由	78203
里	77054
用	76586
所	76462
向	75979
已	72638
其	71322
可以	70958
给	69480
很	69103
发展	68664
看	66641
工作	66367
使	64655
前	62779
新	62626
想	61904
却	61348
这个	61310
它	60864
最	60450
什么	59317
见	58965
起	58684
主要	57991
小	57969
高	57483
更	56478
如	56065
问题	55563
再	55507
才	55415
便	55339
进行	54355
地方	52641
没	52407
已经	51289
走	50437
做	50331
让	50310
内	50204
及	49988
这样	48926
全国	48874
经济	48718
这些	47400
不是	46856
听	45776
公司	45604
成	44880
各	44807
事	44769
号	44621
人民	43719
至	43708
叫	43431
社会	43401
两	43011
知道	42780
当	42694
三	42542
本	42207
无	42181
此	41979
们	41212
家	41022
这种	40923
长	40281
市	40141
门	39823
起来	39788
地区	39590
如果	38374
开始	38139
正	37763
技术	37664
同	37578
重要	37557
吃	36799
美国	36089
天	35979
成为	35966
因为	35698
比	35305
米	35136
外	35084
通过	35063
研究	35029
文化	34860
企业	34826
即	34677
分	34660
北京	34488
历史	34460
世界	34387
问	34296
话	34240
其中	34173
现在	34145
天安门	34010
不能	33939
打	33853
一些	33468
老	33423
时间	33288
自	33152
副	33113
生产	32898
情况	32833
代表	32777
决定	32770
湖北	32652
跟	32393
笑	32256
则	32160
关系	32105
像	31874
领导	31739
生活	31550
时候	31521
一种	31355
可能	31213
出来	31017
学生	30776
以及	30775
石首	30746
较	30431
一般	30311
同时	30245
认为	30204
由于	30181
国	29996
死	29983
省	29951
住	29609
所以	29396
万	29391
不同	29383
这里	29358
学院	29249
因	29186
曾	29107
两个	28947
元	28837
呢	28623
作为	28567
手	28466
会议	28363
达	28255
头	28177
但是	28055
作	28016
该	27977
女	27951
开	27900
路	27626
部分	27619
约	27535
活动	27526
需要	27430
怎么	27339
军	27200
管理	27191
方面	26963
市场	26927
组织	26922
工业	26775
建设	26381
称	26275
名	26255
二	26135
每	26048
属	26010
形成	25854
谁	25842
受	25796
其他	25753
带	25733
进	25668
出现	25633
许多	25601
先	25558
应	25537
吧	25526
县	25322
日本	25307
之间	25306
一定	25293
心	25236
具有	25225
占	25139
城市	25084
人民代表大会	25030
以上	24969
处	24967
区	24952
太	24899
政治	24866
人们	24841
委员会	24831
发现	24826
点	24685
记者	24649
国际	24601
规定	24568
机关	24504
水	24314
武汉	24302
南	24296
虽然	24267
根据	24221
法律	24213
影响	24144
包括	24052
发生	24052
使用	24035
张	23973
中心	23969
教育	23961
要求	23944
今	23913
间	23632
总	23585
回	23572
山	23539
请	23523
者	23521
政府	23452
党	23403
段	23395
法	23361
连	23315
因此	23294
人口	23243
站	23194
建立	23118
第	23112
共	22996
参加	22828
产品	22801
武汉市	22783
而且	22638
另	22635
生	22579
一样	22569
面积	22455
各种	22183
全	22165
提出	22139
行	22128
我国	22114
作用	22078
皇帝	22050
倒	21994
快	21973
必须	21884
行政	21860
派	21853
啊	21810
编辑	21691
职业	21581
制度	21517
以后	21386
你们	21386
相	21292
吗	21245
说道	21168
世纪	21100
为了	21073
应该	21067
之一	21053
经	21042
按	21008
之后	20879
主席	20859
找	20856
口	20778
均	20776
系统	20602
有关	20573
组成	20572
种	20538
民族	20524
基本	20479
增长	20465
字	20380
自然	20269
入	20209
大学	20025
真	19988
拿	19956
城	19953
马	19918
如何	19871
政体	19865
各级	19839
干	19811
人员	19810
计划	19799
王	19704
不会	19515
产生	19495
时期	19421
据	19409
最后	19355
一次	19249
表示	19238
机构	19209
当时	19195
大家	19177
特别	19119
四	19090
子	19089
改革	19018
书	18993
长江	18930
那么	18923
这么	18886
东西	18877
能力	18874
湖北省	18868
革命	18856
仍	18627
一直	18596
基础	18510
难	18505
还有	18487
得到	18464
进入	18436
运动	18435
目前	18396
西	18324
东	18279
少	18155
对于	18058
过程	18051
方法	18045
次	17947
些	17919
举行	17900
钱	17871
北	17860
群众	17849
气	17826
第一	17725
近	17557
杀	17552
单位	17532
清	17519
如此	17518
学	17482
孩子	17465
所有	17464
资源	17453
过去	17444
不过	17372
强	17342
条件	17290
写	17024
学校	17020
既	17016
若	17000
往	16974
台	16964
原	16926
提高	16882
工程	16869
发	16840
任	16831
环境	16811
美	16809
未	16803
提供	16799
方式	16797
百科	16728
报告	16715
杨	16649
或者	16633
下来	16620
兵	16574
军事	16552
部门	16543
分别	16537
